fitting_id,fitting_type,material,vendor_name,vendor_code,batch_id,manufacture_date,supply_date,warranty_months,unit_cost,specifications,status
FIT-2024-001,Elastic Rail Clip,Spring Steel,Bharat Forge Ltd,VEN-001,BATCH-A-2024,2024-01-15,2024-02-01,24,450.00,Grade 60E1 Compatible,Active
FIT-2024-002,Rail Pad,Rubber Composite,Rail India Technical,VEN-002,BATCH-B-2024,2024-01-20,2024-02-05,18,120.00,EVA Based 10mm Thickness,Active
FIT-2024-003,Concrete Sleeper,Pre-stressed Concrete,Patel Sleepers Pvt Ltd,VEN-003,BATCH-C-2024,2024-01-10,2024-01-25,60,2800.00,PSC Type D Standard,Active
FIT-2024-004,Rail Liner,Nylon Composite,Precision Rail Components,VEN-004,BATCH-D-2024,2024-02-01,2024-02-15,12,85.00,Weather Resistant Grade,Attention
FIT-2024-005,Elastic Rail Clip,Spring Steel,Bharat Forge Ltd,VEN-001,BATCH-A-2024,2024-01-15,2024-02-01,24,450.00,Grade 60E1 Compatible,Critical
FIT-2024-006,Fish Plate,Mild Steel,Indian Railway Forge,VEN-005,BATCH-E-2024,2024-01-25,2024-02-10,36,580.00,4-Hole Standard Pattern,Active
FIT-2024-007,Rail Pad,Rubber Composite,Rail India Technical,VEN-002,BATCH-B-2024,2024-01-20,2024-02-05,18,120.00,EVA Based 10mm Thickness,Active
FIT-2024-008,Wooden Sleeper,Sal Wood Treated,Forest Timber Corp,VEN-006,BATCH-F-2024,2024-01-05,2024-01-20,24,1200.00,Creosote Treated Standard,Attention
FIT-2024-009,Elastic Rail Clip,Spring Steel,Precision Rail Components,VEN-004,BATCH-G-2024,2024-02-10,2024-02-25,24,465.00,Grade 52 Compatible,Active
FIT-2024-010,Rail Liner,Polymer Composite,Rail India Technical,VEN-002,BATCH-H-2024,2024-02-05,2024-02-20,12,90.00,UV Stabilized Grade,Active
FIT-2024-011,Concrete Sleeper,Pre-stressed Concrete,Patel Sleepers Pvt Ltd,VEN-003,BATCH-C-2024,2024-01-10,2024-01-25,60,2800.00,PSC Type D Standard,Active
FIT-2024-012,Rail Pad,Natural Rubber,Polymer Solutions Ltd,VEN-007,BATCH-I-2024,2024-02-15,2024-03-01,18,135.00,12mm High Resilience,Active
FIT-2024-013,Elastic Rail Clip,Spring Steel,Bharat Forge Ltd,VEN-001,BATCH-A-2024,2024-01-15,2024-02-01,24,450.00,Grade 60E1 Compatible,Critical
FIT-2024-014,Fish Plate,Mild Steel,Indian Railway Forge,VEN-005,BATCH-E-2024,2024-01-25,2024-02-10,36,580.00,6-Hole Welded Joint,Active
FIT-2024-015,Rail Liner,Nylon Composite,Precision Rail Components,VEN-004,BATCH-D-2024,2024-02-01,2024-02-15,12,85.00,Weather Resistant Grade,Attention
